sep=,
Дата прозвона,Номер телефона,Регион,Оретатор,Пояснение
2021-08-18,+7 903 619-31-36,Московская обл.,ПАО Вымпел-Коммуникации,"прозвон"
2021-08-15,+7 927 065-82-04,Волгоградская обл.,ПАО МегаФон,"прозвон"
2021-08-14,+7 906 254-20-35,Ленинградская обл.,ПАО Вымпел-Коммуникации,"прозвон"
2021-08-14,+7 927 854-22-61,Чувашия,ПАО МегаФон,"прозвон"
2021-08-14,+7 927 224-93-36,Саратовская обл.,ПАО МегаФон,"прозвон"
2021-08-13,+7 939 754-12-55,Самарская обл.,ПАО МегаФон,"прозвон"
2021-08-09,+7 495 139-23-97,г. Москва,ПАО Вымпел-Коммуникации,"прозвон"
2021-08-07,+7 909 578-58-70,Ленинградская обл.,ПАО Вымпел-Коммуникации,"прозвон (опрос)"
2021-08-05,+7 495 822-04-97,г. Москва, ООО МСН Телеком,"прозвон"
2021-08-05,+7 917 360-90-51,Башкортостан,ПАО МТС,"спам (бот: стоматолагия)"
2021-08-03,+7 965 204-59-98,Московская обл.,ПАО Вымпел-Коммуникации,"прозвон"
2021-07-28,+7 495 938-72-12,г. Москва,ООО Центр Технического Обслуживания ФНПР,"выманивают деньги, представляются ПАО Сбербанк, прозвон после номерома +74987609921"
2021-07-28,+7 498 760-99-21,г. Балашиха,ООО Телеком-Звездный,"выманивают деньги, представляются ПАО Сбербанк; похоже, что данные* слиты"
2021-07-27,+7 909 577-94-20,Ленинградская обл.,ПАО Вымпел-Коммуникации,"спам (бот: медцентр)"
2021-07-27,+7 909 577-41-01,Ленинградская обл.,ПАО Вымпел-Коммуникации,"спам (бот: медцентр)"
2021-07-26,+7 903 619-42-93,Московская обл.,ПАО Вымпел-Коммуникации,"прозвон"
2021-07-26,+7 938 206-59-13,Дагестан,ПАО МегаФон,"прозвон"
2021-07-23,+7 968 824-17-64,Московская обл.,ПАО Вымпел-Коммуникации,"спам"
2021-07-22,+7 938 699-66-85,Самарская обл.,ОАО МТТ,"спам (бот: автодиллер)"
2021-07-20,+7 909 577-53-48,Ленинградская обл.,ПАО Вымпел-Коммуникации,"прозвон"
2021-07-20,+7 495 739-50-98,г. Москва,ПАО МТС,"представляются ЖЭКом, выманивают личные данные"
2021-07-18,+7 909 578-19-17,Ленинградская обл.,ПАО Вымпел-Коммуникации,"спам (бот: медцентр)"
2021-07-17,+7 985 011-55-37,Московская обл.,ПАО МТС,"спам; хулиганы"
2021-07-16,+7 966 328-18-74,г. Москва,ПАО Вымпел-Коммуникации,"выманивают деньги, представляются Шоу Москвы; похоже, что данные* слиты"
2021-07-11,+7 495 023-05-38,г. Москва,ООО Новосистем,"представляются МТС, выманивают личные данные"
2021-07-11,+7 917 360-08-77,Башкортостан,ПАО МТС,"спам (бот: стоматолагия)"
2021-07-07,+7 495 677-85-49,г. Москва,ООО Интернод,"прозвон настойчивый"
2021-07-06,+7 495 106-86-08,г. Москва,ООО Новосистем,"представляются МТС, выманивают личные данные"
2021-07-06,+7 495 139-34-26,г. Москва,ПАО Вымпел-Коммуникации,"выманивают личные данные (робот: массажёры)"
2021-07-06,+7 925 115-04-81,Московская обл.,ПАО МегаФон,"прозвон"
2021-07-06,+7 909 578-17-08,Ленинградская обл.,ПАО Вымпел-Коммуникации,"прозвон"
2021-07-04,+7 909 154-45-57,Московская обл.,ПАО Вымпел-Коммуникации,"прозвон"
2021-07-03,+7 495 108-14-52,г. Москва,ООО Интернод,"выманивают личные данные (робот: массажёры)"
2021-07-03,+7 495 139-34-27,г. Москва,ПАО Вымпел-Коммуникации,"прозвон"
2021-06-29,+7 963 974-11-85,Московская обл.,ПАО Вымпел-Коммуникации,"представляются Билайн Шоп, шлют СМС после прозвона с номером +78007255725"
2021-06-27,+7 968 717-35-40,Московская обл.,ПАО Вымпел-Коммуникации,"спам (бот: стоматолагия)"
2021-06-25,+7 909 577-63-95,Ленинградская обл.,ПАО Вымпел-Коммуникации,"спам (бот: медцентр)"
2021-06-23,+7 915 290-33-84,Московская обл.,ПАО МТС,"представляются Русский Стандарт, спам (бот)"
2021-06-21,+7 968 352-12-63,Московская обл.,ПАО Вымпел-Коммуникации,"квазиюристы (бот)"
2021-06-18,+7 909 577-86-37,Ленинградская обл.,ПАО Вымпел-Коммуникации,"прозвон"
2021-06-16,+7 909 577-70-89,Ленинградская обл.,ПАО Вымпел-Коммуникации,"спам (бот)"
2021-06-09,+7 903 563-97-57,Московская обл.,ПАО Вымпел-Коммуникации,"спам (робот: автодиллер); нажмите 0 чтобы не получать звонки"
2021-06-09,+7 917 360-72-96,Башкортостан,ПАО МТС,"выманивают личные данные (робот: стоматолагия)"
2021-06-04,+7 931 521-42-74,Ленинградская обл.,ООО МиАТел,"выманивают личные данные (робот: ПАО СовКомБанк)"
2021-06-03,+7 909 153-60-42,Московская обл.,ПАО Вымпел-Коммуникации,"выманивают личные данные (робот: телеопросы)"
2021-06-02,+7 495 197-61-48,ПАО Ростелеком,"представляются Ростелеком, выманивают личные данные"
2021-05-30,+7 968 717-29-76,Московская обл.,ПАО Вымпел-Коммуникации,"квазиюристы (бот)"
2021-05-29,+7 909 578-60-31,Ленинградская обл.,ПАО Вымпел-Коммуникации,"прозвон настойчивый"
2021-05-27,+7 925 021-19-97,Московская обл.,ПАО МегаФон,"прозвон"
2021-05-21,+7 909 578-09-87,Ленинградская обл.,ПАО Вымпел-Коммуникации,"спам (бот)"
2021-05-20,+7 495 781-02-18,г. Москва,ПАО Ростелеком,"представляются Мультисистема, выманивают личные данные"
2021-05-18,+7 963 718-01-58,Московская обл.,ПАО Вымпел-Коммуникации,"спам (бот)"
2021-05-18,+7 938 783-30-41,Дагестан,ПАО МегаФон,"прозвон"